filename,text,confidence
01 ammo.png,7K,0.9605502817157219
01 ammo.png,70.310,0.6678622613607224
01 ammo.png,71.283,0.7455045074096224
01 ammo.png,AMIG-0022,0.9993931723833644
01 ammo.png,BASIC PROTECTOR ALKIDNO-URETANOVAYA,0.883529165188748
01 ammo.png,3B AU,0.9839955249645623
01 ammo.png,70.337,0.8567929688799362
01 ammo.png,71.281,0.7700180946553927
01 ammo.png,AMIG-0023,0.6141631723294092
01 ammo.png,PROTECTIVE GREEN,0.9878357590375249
01 ammo.png,FS34227,0.9993812171526867
01 ammo.png,H-312,0.9986093667430002
01 ammo.png,C-312,0.9211094331274299
01 ammo.png,XF-71,0.9969079781228689
01 ammo.png,AMIG-0024,0.9998719253857283
01 ammo.png,WASHABLE WHITE CAMO,0.8106791255356051
01 ammo.png,AMIG-0025,0.9994503298975144
01 ammo.png,US MODERN VEHICLES,0.7087143100444792
01 ammo.png,FS 33446,0.997663841650618
01 ammo.png,70.819,0.8813851608496783
01 ammo.png,71.140,0.759029628760958
01 ammo.png,AMIG-0026,0.9983530016377052
01 ammo.png,SAND BROWN,0.9784971012190422
01 ammo.png,RAL 8031 F9,0.8296966087488151
01 ammo.png,H-44,0.7183285919481094
01 ammo.png,C-51,0.9969955086708069
01 ammo.png,70.977,0.8964278271974572
01 ammo.png,71.117,0.9967339059234746
01 ammo.png,AMIG-0027,0.790558028927085
01 ammo.png,GERMAN SAND BEIGE,0.9936343265326013
01 ammo.png,RAL1039 F9,0.7720156267753313
01 ammo.png,70.917,0.9015952433736053
01 ammo.png,71.244,0.9414822421830911
01 ammo.png,A.MIG-0028,0.49872517791009796
01 ammo.png,GERMAN GREY BEIGE,0.7500627124228769
01 ammo.png,RAL 1039 F7,0.8001113012291665
01 ammo.png,70.821,0.9999365864618794
01 ammo.png,71.131,0.9965885307175232
01 ammo.png,AMIG-0029,0.574951071863291
01 ammo.png,DESERT SAND,0.9999339713599511
01 ammo.png,AMIG-0030,0.7921347760865153
01 ammo.png,SAND YELLOW,0.9980242766515122
01 ammo.png,BS 381c 361,0.8734191900741684
01 ammo.png,H-459,0.9988129781128894
01 ammo.png,71.143,0.9999071424166662
01 ammo.png,AMIG-0031,0.9996565682852104
01 ammo.png,SPANISH GREEN-KHAKI,0.8627445133679151
01 ammo.png,70.314,0.9041400113456827
01 ammo.png,71.247,0.6174378958179898
01 ammo.png,AMIG-0032,0.9697520578284115
01 ammo.png,SATIN BLACK,0.9999585212657208
01 ammo.png,H-2,0.9909569374979834
01 ammo.png,C-2/C-92,0.8287702992398903
