code,name,type,hex,equivalents,confidence
AK11835,RLM 81 Version 1,AIR,#4e4c3e,Tamiya:XF51; Humbrol:251; Vallejo:71264; Mr. Color:C121; Gunze Sangyo:H421; Lifecolor:UA510; Real Colors:323,
AK11836,RLM 81 Version 2,AIR,#3f4338,Tamiya:XF74; Humbrol:253; Vallejo:71011; Mr. Color:C123; Gunze Sangyo:H423; Lifecolor:UA132; Hataka:22; Real Colors:324,
AK11837,RLM 81 Version 3,AIR,#4f483e,Real Colors:325,
AK11838,RLM 82,AIR,#475143,Humbrol:252; Vallejo:71022; Mr. Color:C122; Gunze Sangyo:H422; Lifecolor:UA511; Hataka:20; Real Colors:326,
AK11839,RLM 83,AIR,#323d4a,Real Colors:327,
AK11840,RAF Dark Green,AIR,#4d4d44,Tamiya:XF81; Humbrol:163; Vallejo:71324; Mr. Color:C330; Gunze / Mr. Color:4330; Lifecolor:UA546; RAL:BS381C; RAL:241; Hataka:143; Real Colors:286,
AK11841,RAF Dark Earth,AIR,#654d37,Humbrol:29; Vallejo:71323; Mr. Color:C369; Gunze Sangyo:H72; Lifecolor:UA547; Real Colors:287,
AK11842,RAF Ocean Grey,AIR,#535d5f,Tamiya:XF82; Humbrol:106; Vallejo:71273; Gunze / Mr. Color:C362; Lifecolor:UA093; Hataka:32; Real Colors:288,
AK11843,RAF Medium Sea Grey BS381C/637,AIR,#778186,Tamiya:XF83; Humbrol:165; Vallejo:71307; Mr. Color:C335; Gunze Sangyo:H335; Lifecolor:UA094; RAL:BS381C; RAL:637; Hataka:034; Hataka:141; Real Colors:289,
AK11844,RAF Sky / FS 34424,AIR,#abad97,Vallejo:71321; Gunze / Mr. Color:C368; Lifecolor:UA5S0; Federal Standard:FS34424; Hataka:234; Real Colors:290,
AK11845,RAF,AIR,#7393ba,Humbrol:157; Vallejo:71108; Gunze / Mr. Color:C370; Lifecolor:UA098; Hataka:28; Real Colors:291,
AK11846,RAF Middle Stone,AIR,#99733a,Humbrol:225; Vallejo:71031; Gunze / Mr. Color:C21MH71; Lifecolor:UA097; Hataka:13; Real Colors:292,
AK11847,RAF Cockpit Grey-Green,AIR,#6a745f,Tamiya:XF71; Humbrol:78; Vallejo:71305; Gunze / Mr. Color:C364; Lifecolor:UA551; Hataka:25; Real Colors:293,
AK11848,RAF Sky,AIR,#979b9a,Vallejo:71339; Lifecolor:UA036; Federal Standard:FS26373; Hataka:302; Real Colors:285,
AK11849,RAF Dark Slate Grey,AIR,#555248,Humbrol:224; Vallejo:71309; Hataka:202; Real Colors:294,
