code,name,hex,equivalents,confidence
MIG-0047,SATIN WHITE,#ffffff,HOBBY COLOR:H1; MR.COLOR:C1; MODEL COLOR:70.842,0.8672637126562037
MIG-0048,YELLOW,#dcb235,HOBBY COLOR:H4; MR.COLOR:C4; TAMIYA:XF3; MODEL COLOR:70.915; MODEL AIR:71.002; RAL:RAL 1023,0.934655640927621
MIG-0049,RED,#a32a1d,Federal Standard:FS 31302; RAL:RAL 3020; RLM:RLM 23; MR.COLOR:C3; MR.COLOR:C79; MR.COLOR:C114; TAMIYA:XF7; MODEL COLOR:70.909; MODEL AIR:71.003,0.8014277567061185
MIG-0050,MATT WHITE,#ffffff,Federal Standard:FS 37925; RAL:RAL 9016; RLM:RLM 21; MR.COLOR:C62; TAMIYA:XF2; MODEL COLOR:70.951; MODEL AIR:71.001,0.8372847648043484
MIG-0051,MEDIUM LIGHT GREEN,#6f8c6c,MODEL COLOR:70.336,0.8281505122645617
MIG-0052,DEEP GREEN,#003724,MODEL COLOR:70.970; MODEL AIR:71.007,0.9964637124611926
MIG-0053,PROTECTIVE MC 1200,#1b2c2d,TAMIYA:XF70,0.9726537949618328
MIG-0054,SIGNAL GREEN,#004920,HOBBY COLOR:H26; MR.COLOR:C66,0.9847203618978193
MIG-0055,OIL OCHRE,#c09f50,MODEL COLOR:70.916; MODEL AIR:71.033,0.930895596587857
MIG-0056,GREEN KHAKI,#4a4732,RLM:RLM 83; MR.COLOR:C123; TAMIYA:XF51; MODEL COLOR:70.318; MODEL AIR:71.011,0.9608122313778981
MIG-0057,YELLOW GREY,#bda985,HOBBY COLOR:PKHV4; MODEL AIR:71.326,0.9775998938721474
MIG-0058,LIGHT GREEN KHAKI,#6f6b46,HOBBY COLOR:PKHV512,0.9871109260765161
MIG-0059,GREY,#757a83,Federal Standard:FS 36251; MODEL AIR:71.050,0.9411111966537143
MIG-0060,PALE GREEN,#365629,TAMIYA:XF5; MODEL COLOR:70.967; MODEL AIR:71.006,0.9467085868352917
MIG-0061,WARM SAND-YELLOW,#c7a558,MODEL AIR:71.074,0.8463997462383033
MIG-0062,FRENCH BLUE,#315663,HOBBY COLOR:H42; MR.COLOR:C72; TAMIYA:XF18; MODEL COLOR:70.900; MODEL AIR:71.113,0.9184653049139424
MIG-0063,PALE GREY,#91b3a7,Federal Standard:FS 36480; RLM:RLM 76; MR.COLOR:C117; TAMIYA:XF23; MODEL COLOR:70.907; MODEL AIR:71.257,0.8658123838614128
MIG-0064,EARTH BROWN,#703e28,MODEL COLOR:70.303; MODEL AIR:71.037,0.9837365180695232
MIG-0065,FOREST GREEN,#313a23,Federal Standard:FS 34102; RLM:RLM 62; MR.COLOR:C303; TAMIYA:XF58; MODEL COLOR:70.348,0.9356953779100797
MIG-0066,FADED SINAI GREY,#686152,MODEL AIR:71.142,0.8278991200893875
MIG-0067,LIGHT SAND GREY,#aa9977,,0.9974240365736942
MIG-0068,IDF GREEN,#3c4732,,0.9922431025664218
MIG-0069,BLUE GREEN,#253322,HOBBY COLOR:H36; HOBBY COLOR:H5g; MR.COLOR:C15; TAMIYA:XF11,0.9262027553657098
MIG-0070,MEDIUM BROWN,#463023,British Standard:BS 450; MODEL COLOR:70.312; MODEL AIR:71.035,0.8615730033744174
MIG-0071,KHAKI,#654b30,HOBBY COLOR:H404; TAMIYA:XF49; MODEL COLOR:70.339; MODEL AIR:71.136,0.97767656569203
MIG-0072,DUST,#897e65,TAMIYA:XF55; MODEL COLOR:70.315,0.9995478281374524
MIG-0073,EARTH,#684e35,HOBBY COLOR:H457; TAMIYA:XF52; MODEL COLOR:70.874; MODEL AIR:71.024,0.8492684078181832
MIG-0074,GREEN MOSS,#5d5b33,MODEL COLOR:70.328; MODEL AIR:71.010,0.9338919846243201
MIG-0075,STONE GREY,#a7a7a7,TAMIYA:XF80,0.9932639853106073
MIG-0076,BROWN SOIL,#5e4132,HOBBY COLOR:H456,0.8541788854679364
MIG-0077,DULL GREEN,#374d44,MODEL AIR:71.267,0.9285093489893438
MIG-0078,OCHRE EARTH,#b18156,MODEL COLOR:70.927,0.9613027556858031
MIG-0079,CLAY BROWN,#5a3722,HOBBY COLOR:H37; MR.COLOR:C43; MODEL AIR:71.034,0.7882887497994469
MIG-0080,BRIGHT GREEN AMT-4,#566d37,MODEL AIR:71.301,0.861669516463427
MIG-0081,US OLIVE DRAB VIETNAM ERA,#393f2f,HOBBY COLOR:H304; HOBBY COLOR:H405; MR.COLOR:C304; TAMIYA:XF73; MODEL AIR:71.289,0.8028652609619911
MIG-0082,APC INTERIOR LIGHT GREEN,#81917b,MODEL COLOR:70.331,0.9571110150340097
MIG-0083,ZASHCHITNIY ZELENO (RUSSIAN POSTWAR GREEN),#44432c,HOBBY COLOR:XB 518; MR.COLOR:C320; MODEL COLOR:70.326; MODEL AIR:71.285,0.8958494608123064
MIG-0084,NATO GREEN,#3a3d2e,HOBBY COLOR:H80; MR.COLOR:C54; TAMIYA:XF67; MODEL AIR:71.093,0.8327220718523675
MIG-0085,NATO BROWN,#392723,Federal Standard:FS 30051; RAL:RAL 8027; TAMIYA:XF68; MODEL COLOR:70.871; MODEL AIR:71.249,0.8702370321461032
MIG-0086,BLUE,#004f79,RAL:RAL 5019; MR.COLOR:C323; MODEL COLOR:70.844; MODEL AIR:71.089,0.8615796211153134
MIG-0087,GELBOLIV,#3a3c2b,RAL:RAL 6014; MODEL COLOR:70.877; MODEL AIR:71.012,0.99059904339648
MIG-0088,KHAKI BROWN,#a78661,MODEL COLOR:70.860; MODEL AIR:71.077,0.883840711691383
MIG-0089,MATT VARNISH,#ffffff,HOBBY COLOR:H20; MR.COLOR:C182; MODEL COLOR:70.520,0.9365932900930533
MIG-0090,SATIN VARNISH,#ffffff,MODEL COLOR:70.522,0.8767596569238972
MIG-0091,GLOSSY VARNISH,#ffffff,HOBBY COLOR:H30; MR.COLOR:C46; MODEL COLOR:70.510,0.9742067443344173
MIG-0092,CRYSTAL GREEN,#003228,HOBBY COLOR:H94; MR.COLOR:C138,0.6984088858454973
MIG-0093,CRYSTAL RED,#773823,HOBBY COLOR:H90; MR.COLOR:C47; MODEL COLOR:70.934,0.9205328346016644
MIG-0094,CRYSTAL GLASS,#ffffff,,0.9727945589774374
MIG-0095,CRYSTAL SMOKE,#1a1310,HOBBY COLOR:H95; MR.COLOR:C101,0.8906064053655613
MIG-0096,CRYSTAL GREEN PERISCOPE  (AND TAIL LIGHT ON),#19642f,MODEL COLOR:70.936,0.7589436776439763
MIG-0097,CRYSTAL ORANGE,#e47e2c,HOBBY COLOR:H92; MR.COLOR:C49; MODEL COLOR:70.935,0.7497995829692808
MIG-0098,CRYSTAL LIGHT BLUE,#0070a4,HOBBY COLOR:H93; MR.COLOR:C50,0.8297718755438612
MIG-0099,CRYSTAL BLACK BLUE (AND TAIL LIGHT OFF),#001929,MODEL COLOR:70.938,0.8152706936419881
MIG-0102,OCHRE BROWN,#987d50,MODEL COLOR:70.856,0.8471426397304338
MIG-0103,MEDIUM BLUE,#00315e,HOBBY COLOR:H15; MR.COLOR:C65; MODEL COLOR:70.839,0.8944438151718564
MIG-0104,WASHABLE BLACK,#000000,,0.9987781031677035
MIG-0105,WASHABLE DUST,#9c8c71,RAL:RAL 8000,0.8728225982112743
MIG-0106,WASHABLE SAND,#d4a760,RAL:RAL 8020,0.8594621429713374
MIG-0107,WASHABLE EARTH,#5c472f,,0.8412225718317116
MIG-0108,WASHABLE MUD,#442e22,,0.9135881818148004
MIG-0109,WASHABLE RUST,#8e452c,,0.7064259965514421
MIG-0110,(BRITISH BROWN 1941-42),#2c1e15,RLM:RLM 61; MODEL AIR:71.042,0.8642437433324729
MIG-0111,(BRITISH 1941-42 SERVICE DRAB),#483f2d,HOBBY COLOR:SCC 2; MR.COLOR:C22; TAMIYA:XF72; MODEL COLOR:70.921; MODEL AIR:71.290,0.8853752217853302
MIG-0112,(BRITISH 1944-45 OLIVE DRAB),#2e3217,HOBBY COLOR:SCC 15; MODEL COLOR:70.892; MODEL AIR:71.250,0.8598696417109728
MIG-0113,"KHAKI GREEN N""3 (BRITISH 1939-42)",#61543d,MODEL COLOR:70.988; MODEL AIR:71.023,0.7746512463445405
MIG-0114,ZIMMERIT OCHRE COLOR,#8d7e6a,MODEL AIR:71.246,0.7696331119278986
MIG-0115,LIGHT SKIN TONE,#eccdab,TAMIYA:XF15; MODEL COLOR:70.837; MODEL AIR:71.076,0.8592625028047671
MIG-0116,BASIC SKIN TONE,#deb4a2,Federal Standard:FS 31670; MODEL COLOR:70.928,0.9066342955354658
MIG-0117,WARM SKIN TONE,#b3846a,MODEL COLOR:70.815,0.9041523134829693
MIG-0118,BURNT SAND,#735533,,0.7982697142038759
MIG-0119,COLD GRAY,#cbcccc,Federal Standard:FS 17865; MODEL COLOR:70.993; MODEL AIR:71.279,0.793385404494725
MIG-0120,LIGHT BROWN-GRAY,#d8d7d3,,0.775983582977249
MIG-0121,BLOOD RED,#9b2b1d,RAL:RAL 3002; MR.COLOR:C327; MODEL COLOR:70.908; MODEL AIR:71.084,0.8211672627628939
MIG-0122,BONE,#f2f2e2,MODEL COLOR:70.847; MODEL AIR:71.288,0.8858280846803659
MIG-0123,MARINE BLUE,#003b67,TAMIYA:XF8; MODEL COLOR:70.930; MODEL AIR:71.004,0.8908087042943987
MIG-0124,LIME GREEN,#719b30,MODEL AIR:71.094,0.8920375959542528
MIG-0125,GOLD YELLOW,#e0ad28,Federal Standard:FS 33655; RAL:RAL 1003; RLM:RLM 04; MR.COLOR:C113; MODEL COLOR:70.953; MODEL AIR:71.078,0.8955866957620541
MIG-0126,VIOLET,#45498b,HOBBY COLOR:H49; MODEL COLOR:70.960,0.8267237128837679
MIG-0127,PURPLE,#7e5b93,Federal Standard:FS 37142; RAL:RAL 4008; MR.COLOR:C67; MODEL COLOR:70.959,0.9422239885343666
MIG-0128,CYAN,#0091d3,,0.9882341386151849
MIG-0129,ORANGE,#d7721c,Federal Standard:FS 32246; MR.COLOR:C59; MODEL COLOR:70.956; MODEL AIR:71.083,0.9685904865858688
MIG-0130,FADED YELLOW,#decd73,HOBBY COLOR:H318; MR.COLOR:C318,0.8937694973027386
MIG-0131,REAL IDF SINAI GREY 82,#4d4723,MODEL AIR:71.142,0.7867125935783406
MIG-0132,REAL IDF SAND GREY 73,#7d7045,HOBBY COLOR:H85; MR.COLOR:C45; MODEL AIR:71.141,0.8228814962443571
MIG-0133,RED LEATHER,#5b3b24,MODEL COLOR:70.301; MODEL AIR:71.105,0.727240725895424
MIG-0134,BURNT BROWN RED,#2e2109,MODEL COLOR:70.984; MODEL AIR:71.036,0.7427338750900795
MIG-0135,CINNAMON,#b7927e,MODEL AIR:71.112,0.9251571571278215
MIG-0138,DESERT YELLOW,#bc9a64,Federal Standard:FS 20400; MODEL COLOR:70.912; MODEL AIR:71.291,0.8865730794144966
MIG-0139,RED EARTH,#815241,HOBBY COLOR:H463; MODEL AIR:71.293,0.8180035648783133
MIG-0187,JET EXHAUST BURNT IRON,#573c27,HOBBY COLOR:H76; MR.COLOR:C61; TAMIYA:XF84; MODEL AIR:71.073,0.8575878891904916
MIG-0188,METALLIC RED,#c88070,HOBBY COLOR:H87; MR.COLOR:C75; MODEL AIR:71.070,0.891549839123146
MIG-0189,METALLIC ORANGE,#d39958,,0.9287659170307836
MIG-0190,OLD BRASS,#6d4a21,MODEL COLOR:70.801,0.9907250528069831
MIG-0191,STEEL,#959084,RAL:RAL 9006; MR.COLOR:C28; MODEL COLOR:70.864; MODEL AIR:71.065,0.9274483912075923
MIG-0192,POLISHED METAL,#4f4d46,TAMIYA:XF56; MODEL COLOR:70.865,0.9990058724560956
MIG-0193,BLUISH TITANIUM,#4b5450,,0.7928819966822164
MIG-0194,MATT ALUMINUM,#9c9a95,TAMIYA:XF16; MODEL AIR:71.062,0.894011613325767
MIG-0195,SILVER,#a19d94,Federal Standard:FS 17178; RLM:RLM 01; MR.COLOR:C8; MR.COLOR:C90; MODEL COLOR:70.997; MODEL AIR:71.063,0.7902175857543879
MIG-0196,WARHEAD METALLIC BLUE,#004984,HOBBY COLOR:H88; MR.COLOR:C76,0.9197162954207065
MIG-0197,BRASS,#9f6f2b,MODEL AIR:71.067,0.9534540055081072
MIG-0198,GOLD,#997a2c,Federal Standard:FS 17043; MR.COLOR:C9; MODEL COLOR:70.996; MODEL AIR:71.066,0.92688923187814
MIG-0199,COPPER,#8b3628,HOBBY COLOR:H10; MR.COLOR:C10; TAMIYA:XF6; MODEL COLOR:70.999; MODEL AIR:71.068,0.8237058073199752
