code,name,hex,equivalents
HTK-_021,Medium Green,#848a75,"[{""brand"": ""Federal Standard"", ""code"": ""FS 34102""}, {""brand"": ""Humbrol"", ""code"": ""117""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H303""}, {""brand"": ""Tamiya"", ""code"": ""XF58""}, {""brand"": ""Testors"", ""code"": ""1713""}, {""brand"": ""Vallejo"", ""code"": ""71.289""}, {""brand"": ""Xtracolor"", ""code"": ""X116""}]"
HTK-_022,Dark Green,#4c5446,"[{""brand"": ""RLM"", ""code"": ""RLM-83""}, {""brand"": ""Humbrol"", ""code"": ""253""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H423""}, {""brand"": ""Testors"", ""code"": ""2092""}, {""brand"": ""Vallejo"", ""code"": ""71.011""}, {""brand"": ""Xtracolor"", ""code"": ""X226""}]"
HTK-_023,Grey,#737b72,"[{""brand"": ""RLM"", ""code"": ""RLM-02""}, {""brand"": ""Humbrol"", ""code"": ""240""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H70""}, {""brand"": ""Tamiya"", ""code"": ""XF22""}, {""brand"": ""Testors"", ""code"": ""2071""}, {""brand"": ""Vallejo"", ""code"": ""71.044""}, {""brand"": ""Xtracolor"", ""code"": ""X201""}]"
HTK-_024,P.R. Pink,#f8ddd3,"[{""brand"": ""Vallejo"", ""code"": ""71.408""}, {""brand"": ""Xtracolor"", ""code"": ""X034""}]"
HTK-_025,Interior Grey-Green,#9ba89b,"[{""brand"": ""Tamiya"", ""code"": ""XF76""}, {""brand"": ""Testors"", ""code"": ""2062""}, {""brand"": ""Vallejo"", ""code"": ""71.305""}, {""brand"": ""Xtracolor"", ""code"": ""X010""}]"
HTK-_026,Sky „Type S”,#c5c5a9,"[{""brand"": ""Gunze Sangyo"", ""code"": ""H74""}, {""brand"": ""Tamiya"", ""code"": ""XF21""}, {""brand"": ""Testors"", ""code"": ""2049""}, {""brand"": ""Vallejo"", ""code"": ""71.302""}, {""brand"": ""Xtracolor"", ""code"": ""X007""}]"
HTK-_027,Intermediate Blue,#6f7e88,"[{""brand"": ""Federal Standard"", ""code"": ""FS 35164""}, {""brand"": ""ANA"", ""code"": ""ANA 608""}, {""brand"": ""Humbrol"", ""code"": ""144""}, {""brand"": ""Testors"", ""code"": ""1720""}, {""brand"": ""Vallejo"", ""code"": ""71.299""}, {""brand"": ""Xtracolor"", ""code"": ""X125""}]"
HTK-_028,Azure Blue,#7b92b5,"[{""brand"": ""Federal Standard"", ""code"": ""FS 35164""}, {""brand"": ""ANA"", ""code"": ""ANA 608""}, {""brand"": ""Humbrol"", ""code"": ""157""}, {""brand"": ""Testors"", ""code"": ""2048""}, {""brand"": ""Vallejo"", ""code"": ""71.108""}, {""brand"": ""Xtracolor"", ""code"": ""X026""}]"
HTK-_029,Light Blue,#a8bbba,"[{""brand"": ""RLM"", ""code"": ""RLM-65""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H67""}, {""brand"": ""Testors"", ""code"": ""2078""}, {""brand"": ""Vallejo"", ""code"": ""71.255""}, {""brand"": ""Xtracolor"", ""code"": ""X202""}]"
HTK-_030,European I Grey,#606364,"[{""brand"": ""Federal Standard"", ""code"": ""FS 36081""}, {""brand"": ""Humbrol"", ""code"": ""32""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H301""}, {""brand"": ""Tamiya"", ""code"": ""XF24""}, {""brand"": ""Testors"", ""code"": ""1788""}, {""brand"": ""Vallejo"", ""code"": ""71.314""}, {""brand"": ""Xtracolor"", ""code"": ""X129""}]"
