code,name,hex,equivalents
HTK-_097,Jaune d’ocre,#eccb95,[]
HTK-_098,Terre d’ombre,#906257,[]
HTK-_099,Gris Vert,#73766d,[]
HTK-_100,Jet Black,#42413e,"[{""brand"": ""RAL"", ""code"": ""RAL 9005""}, {""brand"": ""Humbrol"", ""code"": ""85""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H12""}, {""brand"": ""Tamiya"", ""code"": ""XF1""}, {""brand"": ""Testors"", ""code"": ""2040""}, {""brand"": ""Xtracolor"", ""code"": ""X012""}]"
HTK-_101,Traffic White,#fcfdfd,"[{""brand"": ""RAL"", ""code"": ""RAL 9016""}, {""brand"": ""Humbrol"", ""code"": ""34""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H11""}, {""brand"": ""Tamiya"", ""code"": ""XF2""}, {""brand"": ""Vallejo"", ""code"": ""71.101""}, {""brand"": ""Xtracolor"", ""code"": ""X405""}]"
HTK-_102,Signal Blue,#3f5280,"[{""brand"": ""RAL"", ""code"": ""RAL 5005""}, {""brand"": ""Humbrol"", ""code"": ""25""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H56""}, {""brand"": ""Tamiya"", ""code"": ""XF8""}]"
HTK-_103,Traffic Red,#c03a39,"[{""brand"": ""RAL"", ""code"": ""RAL 3020""}, {""brand"": ""Humbrol"", ""code"": ""174""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H3""}, {""brand"": ""Tamiya"", ""code"": ""XF7""}]"
HTK-_104,Traffic Yellow,#fbd822,"[{""brand"": ""RAL"", ""code"": ""RAL 1023""}, {""brand"": ""Humbrol"", ""code"": ""24""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H34""}, {""brand"": ""Tamiya"", ""code"": ""XF3""}, {""brand"": ""Testors"", ""code"": ""2118""}, {""brand"": ""Vallejo"", ""code"": ""71.002""}, {""brand"": ""Xtracolor"", ""code"": ""X011""}]"
HTK-_105,Luminous Yellow,#f3ed62,"[{""brand"": ""RAL"", ""code"": ""RAL 1026""}]"
HTK-_106,Gunmetal,#464f52,"[{""brand"": ""Humbrol"", ""code"": ""53""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H76""}, {""brand"": ""Tamiya"", ""code"": ""X10""}, {""brand"": ""Testors"", ""code"": ""1795""}, {""brand"": ""Vallejo"", ""code"": ""71.072""}, {""brand"": ""Xtracolor"", ""code"": ""X506""}]"
HTK-_107,Signal Yellow,#f3c120,"[{""brand"": ""RAL"", ""code"": ""RAL 1003""}, {""brand"": ""Vallejo"", ""code"": ""71.135""}]"
HTK-_108,Gold (Met),#e5c776,"[{""brand"": ""Humbrol"", ""code"": ""16""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H9""}, {""brand"": ""Tamiya"", ""code"": ""X12""}, {""brand"": ""Testors"", ""code"": ""1744""}, {""brand"": ""Vallejo"", ""code"": ""71.066""}, {""brand"": ""Xtracolor"", ""code"": ""X507""}]"
HTK-_109,Copper (Met),#dc9f7f,"[{""brand"": ""Humbrol"", ""code"": ""12""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H10""}, {""brand"": ""Tamiya"", ""code"": ""XF6""}, {""brand"": ""Testors"", ""code"": ""2019""}, {""brand"": ""Vallejo"", ""code"": ""71.068""}]"
HTK-_110,S.C.C. No. 15 Olive Drab,#67604f,[]
HTK-_121,Jaune Sahara,#fcf1cd,[]
HTK-_122,Vert IR OTAN (0211),#7e7b69,[]
HTK-_123,Brun Terre IR,#8e7858,[]
HTK-_124,Vert Foncé IR,#467648,[]
HTK-_125,NATO Black,#6f6c6d,"[{""brand"": ""Federal Standard"", ""code"": ""FS 37030""}, {""brand"": ""Tamiya"", ""code"": ""XF69""}, {""brand"": ""Vallejo"", ""code"": ""71.251""}]"
HTK-_126,Sable Desért IR,#d4b675,[]
HTK-_127,AE-9 Light Grey,#e4e4ea,[]
HTK-_128,A II Green (Protective),#55553c,"[{""brand"": ""Vallejo"", ""code"": ""71.410""}]"
HTK-_129,A II Light Blue,#a9c1c6,"[{""brand"": ""Vallejo"", ""code"": ""71.317""}]"
HTK-_130,Mahogany Brown,#694a3e,"[{""brand"": ""RAL"", ""code"": ""RAL 8016""}, {""brand"": ""Vallejo"", ""code"": ""71.036""}]"
HTK-_131,Brown Red,#8d3f3d,"[{""brand"": ""RAL"", ""code"": ""RAL 3011""}]"
HTK-_132,Flame Red,#b23e34,"[{""brand"": ""RAL"", ""code"": ""RAL 3000""}, {""brand"": ""Humbrol"", ""code"": ""19""}, {""brand"": ""Testors"", ""code"": ""1503""}, {""brand"": ""Vallejo"", ""code"": ""71.269""}]"
HTK-_133,Signal Orange,#dd8b60,"[{""brand"": ""RAL"", ""code"": ""RAL 2010""}, {""brand"": ""Vallejo"", ""code"": ""71.130""}]"
HTK-_134,Maize Yellow,#e1a129,"[{""brand"": ""RAL"", ""code"": ""RAL 1006""}, {""brand"": ""Vallejo"", ""code"": ""71.033""}]"
HTK-_135,Yellow (light) rust,#f4b722,"[{""brand"": ""Vallejo"", ""code"": ""71.135""}]"
HTK-_136,Pucara Pale Green,#b7c89c,[]
HTK-_137,Pucara Light Tan,#d6c1b2,[]
HTK-_138,Pucara Medium Blue,#85cbdc,"[{""brand"": ""Vallejo"", ""code"": ""77.716""}]"
HTK-_139,Semi-matt Aluminium,#c5c9ca,"[{""brand"": ""Vallejo"", ""code"": ""77.716""}]"
HTK-_140,BS Extra Dark Sea Grey,#676b6f,"[{""brand"": ""British Standard"", ""code"": ""BS381C:640""}, {""brand"": ""Humbrol"", ""code"": ""123""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H333""}, {""brand"": ""Tamiya"", ""code"": ""XF54""}, {""brand"": ""Vallejo"", ""code"": ""71.110""}, {""brand"": ""Xtracolor"", ""code"": ""X005""}]"
HTK-_141,BS Medium Sea Grey,#b3b6b7,"[{""brand"": ""British Standard"", ""code"": ""BS381C:637""}, {""brand"": ""Humbrol"", ""code"": ""165""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H335""}, {""brand"": ""Vallejo"", ""code"": ""71.307""}, {""brand"": ""Xtracolor"", ""code"": ""X003""}]"
HTK-_142,Camouflage (Barley) Grey,#acafaf,"[{""brand"": ""British Standard"", ""code"": ""BS381C:626""}, {""brand"": ""Humbrol"", ""code"": ""167""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H334""}, {""brand"": ""Xtracolor"", ""code"": ""X017""}]"
HTK-_143,BS Dark Green,#696453,"[{""brand"": ""British Standard"", ""code"": ""BS381C:641""}, {""brand"": ""Humbrol"", ""code"": ""163""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H330""}, {""brand"": ""Testors"", ""code"": ""2060""}, {""brand"": ""Vallejo"", ""code"": ""71.324""}, {""brand"": ""Xtracolor"", ""code"": ""X001""}]"
HTK-_144,BS Dark Sea Grey,#818187,"[{""brand"": ""British Standard"", ""code"": ""BS381C:638""}, {""brand"": ""Humbrol"", ""code"": ""164""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H331""}, {""brand"": ""Tamiya"", ""code"": ""XF24""}, {""brand"": ""Testors"", ""code"": ""2059""}, {""brand"": ""Vallejo"", ""code"": ""71.405""}, {""brand"": ""Xtracolor"", ""code"": ""X004""}]"
HTK-_145,RAF Blue-Grey,#777b7f,"[{""brand"": ""British Standard"", ""code"": ""BS381C:633""}, {""brand"": ""Xtracolor"", ""code"": ""X013""}]"
HTK-_146,BS Olive Drab,#6f695b,"[{""brand"": ""British Standard"", ""code"": ""BS381C:298""}, {""brand"": ""Xtracolor"", ""code"": ""X028""}]"
HTK-_147,Chocolate Brown,#5a4a43,"[{""brand"": ""RAL"", ""code"": ""RAL 8017""}, {""brand"": ""Testors"", ""code"": ""2096""}, {""brand"": ""Vallejo"", ""code"": ""71.041""}, {""brand"": ""Xtracolor"", ""code"": ""X807""}]"
HTK-_148,Vermilion,#c64b36,"[{""brand"": ""RAL"", ""code"": ""RAL 2002""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H467""}]"
HTK-_149,Concrete Grey,#a9a9a1,"[{""brand"": ""RAL"", ""code"": ""RAL 7023""}, {""brand"": ""Xtracolor"", ""code"": ""X263""}]"
HTK-_150,Blue-Green,#94b2ae,"[{""brand"": ""Federal Standard"", ""code"": ""FS 35414""}, {""brand"": ""Testors"", ""code"": ""2033""}, {""brand"": ""Vallejo"", ""code"": ""71.008""}, {""brand"": ""Xtracolor"", ""code"": ""X127""}]"
HTK-_151,Grey Olive,#6e765d,"[{""brand"": ""RAL"", ""code"": ""RAL 6006""}, {""brand"": ""Testors"", ""code"": ""2148""}, {""brand"": ""Vallejo"", ""code"": ""71.268""}]"
HTK-_152,NATO Green,#606956,"[{""brand"": ""Federal Standard"", ""code"": ""FS 34094""}, {""brand"": ""Testors"", ""code"": ""2173""}, {""brand"": ""Vallejo"", ""code"": ""71.093""}]"
HTK-_153,MK-7 Temporary White,#fdfefd,[]
HTK-_154,White Grey,#dee0d9,"[{""brand"": ""Federal Standard"", ""code"": ""FS 36628""}]"
HTK-_155,Air Superiority Blue,#a5bed8,"[{""brand"": ""Federal Standard"", ""code"": ""FS 35450""}]"
HTK-_156,Aggressor Blue,#526b84,"[{""brand"": ""Federal Standard"", ""code"": ""FS 35109""}, {""brand"": ""Testors"", ""code"": ""2031""}, {""brand"": ""Vallejo"", ""code"": ""71.111""}, {""brand"": ""Xtracolor"", ""code"": ""X124""}]"
HTK-_157,Aggressor Grey,#a5a9a6,"[{""brand"": ""Federal Standard"", ""code"": ""FS 36251""}, {""brand"": ""Testors"", ""code"": ""1794""}, {""brand"": ""Vallejo"", ""code"": ""71.274""}, {""brand"": ""Xtracolor"", ""code"": ""X132""}]"
HTK-_158,Mod Eagle Grey,#818892,"[{""brand"": ""Federal Standard"", ""code"": ""FS 36176""}, {""brand"": ""Tamiya"", ""code"": ""XF69""}, {""brand"": ""Testors"", ""code"": ""2036""}, {""brand"": ""Vallejo"", ""code"": ""71.273""}, {""brand"": ""Xtracolor"", ""code"": ""X157""}]"
HTK-_159,Camouflage Black,#514e4f,"[{""brand"": ""Federal Standard"", ""code"": ""FS 37030""}, {""brand"": ""Tamiya"", ""code"": ""XF69""}, {""brand"": ""Testors"", ""code"": ""2036""}, {""brand"": ""Vallejo"", ""code"": ""71.251""}, {""brand"": ""Xtracolor"", ""code"": ""X157""}]"
HTK-_160,Pale Brown,#957763,"[{""brand"": ""Federal Standard"", ""code"": ""FS 30140""}, {""brand"": ""Tamiya"", ""code"": ""XF69""}, {""brand"": ""Testors"", ""code"": ""2036""}, {""brand"": ""Vallejo"", ""code"": ""71.035""}, {""brand"": ""Xtracolor"", ""code"": ""X157""}]"
HTK-_161,Polizei / SS Grün Base,#759d9e,"[{""brand"": ""RLM"", ""code"": ""RLM-63""}, {""brand"": ""Humbrol"", ""code"": ""67""}, {""brand"": ""Tamiya"", ""code"": ""XF63""}, {""brand"": ""Testors"", ""code"": ""1592""}, {""brand"": ""Vallejo"", ""code"": ""71.056""}, {""brand"": ""Xtracolor"", ""code"": ""X800""}]"
HTK-_164,Panzer Dunkelgrau Base,#5e6065,"[{""brand"": ""RLM"", ""code"": ""RLM-61""}, {""brand"": ""Humbrol"", ""code"": ""67""}, {""brand"": ""Tamiya"", ""code"": ""XF63""}, {""brand"": ""Testors"", ""code"": ""2077""}, {""brand"": ""Vallejo"", ""code"": ""71.260""}, {""brand"": ""Xtracolor"", ""code"": ""X221""}]"
HTK-_167,Light Grey,#8e9286,"[{""brand"": ""RLM"", ""code"": ""RLM-61""}, {""brand"": ""Humbrol"", ""code"": ""67""}, {""brand"": ""Tamiya"", ""code"": ""XF63""}, {""brand"": ""Testors"", ""code"": ""2075""}, {""brand"": ""Vallejo"", ""code"": ""71.042""}, {""brand"": ""Xtracolor"", ""code"": ""X219""}, {""brand"": ""RLM"", ""code"": ""RLM-63""}]"
HTK-_168,Dark Brown,#5e5652,"[{""brand"": ""RLM"", ""code"": ""RLM-61""}, {""brand"": ""Humbrol"", ""code"": ""67""}, {""brand"": ""Tamiya"", ""code"": ""XF63""}, {""brand"": ""Testors"", ""code"": ""2075""}, {""brand"": ""Vallejo"", ""code"": ""71.042""}, {""brand"": ""Xtracolor"", ""code"": ""X219""}]"
HTK-_169,Green,#8b8c79,"[{""brand"": ""RAL"", ""code"": ""RAL 6013""}, {""brand"": ""RLM"", ""code"": ""RLM-62""}, {""brand"": ""Testors"", ""code"": ""2076""}, {""brand"": ""Vallejo"", ""code"": ""71.104""}, {""brand"": ""Xtracolor"", ""code"": ""X220""}]"
HTK-_170,Reed Green,#928b6d,"[{""brand"": ""RAL"", ""code"": ""RAL 5008""}, {""brand"": ""RLM"", ""code"": ""RLM-62""}, {""brand"": ""Testors"", ""code"": ""2076""}, {""brand"": ""Vallejo"", ""code"": ""71.005""}, {""brand"": ""Xtracolor"", ""code"": ""X264""}, {""brand"": ""RAL"", ""code"": ""RAL 6013""}]"
HTK-_171,Grey-Blue,#4d545c,"[{""brand"": ""RAL"", ""code"": ""RAL 5008""}, {""brand"": ""RLM"", ""code"": ""RLM-62""}, {""brand"": ""Testors"", ""code"": ""2076""}, {""brand"": ""Vallejo"", ""code"": ""71.005""}, {""brand"": ""Xtracolor"", ""code"": ""X264""}]"
HTK-_172,Medium Brown,#987653,"[{""brand"": ""Federal Standard"", ""code"": ""FS 30215""}, {""brand"": ""Vallejo"", ""code"": ""71.026""}]"
HTK-_173,Silk Grey,#d2cfc7,"[{""brand"": ""RAL"", ""code"": ""RAL 7044""}, {""brand"": ""Xtracolor"", ""code"": ""X266""}]"
HTK-_175,Red Primer Base,#a25859,"[{""brand"": ""Humbrol"", ""code"": ""100""}]"
HTK-_184,Interior Buff,#e8e3d7,"[{""brand"": ""Testors"", ""code"": ""2104""}]"
HTK-_185,Gearbox Green,#6c904f,[]
HTK-_186,Leather Brown,#9c7c6a,"[{""brand"": ""Humbrol"", ""code"": ""62""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H66""}, {""brand"": ""Testors"", ""code"": ""1736""}]"
HTK-_187,Tan,#d1ab73,"[{""brand"": ""Federal Standard"", ""code"": ""FS 20400""}, {""brand"": ""Tamiya"", ""code"": ""XF68""}, {""brand"": ""Testors"", ""code"": ""2021""}, {""brand"": ""Vallejo"", ""code"": ""71.249""}, {""brand"": ""Xtracolor"", ""code"": ""X145""}]"
HTK-_188,NATO Brown,#76645a,"[{""brand"": ""Federal Standard"", ""code"": ""FS 30051""}, {""brand"": ""Tamiya"", ""code"": ""XF68""}, {""brand"": ""Testors"", ""code"": ""2174""}, {""brand"": ""Vallejo"", ""code"": ""71.249""}, {""brand"": ""Xtracolor"", ""code"": ""X145""}]"
HTK-_189,Silver Grey,#a9adb2,"[{""brand"": ""RAL"", ""code"": ""RAL 7001""}, {""brand"": ""Testors"", ""code"": ""2160""}, {""brand"": ""Vallejo"", ""code"": ""71.050""}, {""brand"": ""Xtracolor"", ""code"": ""X255""}]"
HTK-_190,White Aluminium,#bfbfbe,"[{""brand"": ""RAL"", ""code"": ""RAL 9006""}, {""brand"": ""Vallejo"", ""code"": ""71.062""}, {""brand"": ""Xtracolor"", ""code"": ""X252""}]"
HTK-_191,Light Grey,#d6d6d4,"[{""brand"": ""RAL"", ""code"": ""RAL 7035""}, {""brand"": ""Humbrol"", ""code"": ""196""}, {""brand"": ""Xtracolor"", ""code"": ""X260""}]"
HTK-_192,Basalt Grey,#737474,"[{""brand"": ""RAL"", ""code"": ""RAL 7012""}, {""brand"": ""Humbrol"", ""code"": ""79""}, {""brand"": ""Xtracolor"", ""code"": ""X254""}]"
HTK-_193,Yellow Olive,#645d50,"[{""brand"": ""RAL"", ""code"": ""RAL 6014""}, {""brand"": ""Testors"", ""code"": ""2175""}, {""brand"": ""Xtracolor"", ""code"": ""X251""}]"
HTK-_194,Luminous Orange,#f08965,"[{""brand"": ""RAL"", ""code"": ""RAL 2005""}, {""brand"": ""Vallejo"", ""code"": ""71.082""}, {""brand"": ""Xtracolor"", ""code"": ""X253""}]"
HTK-_201,Voodoo Grey,#c9cbc9,"[{""brand"": ""Federal Standard"", ""code"": ""FS 16515""}, {""brand"": ""Testors"", ""code"": ""2039""}, {""brand"": ""Xtracolor"", ""code"": ""X150""}]"
HTK-_202,BS Dark Slate Grey,#7d7b6a,"[{""brand"": ""British Standard"", ""code"": ""BS381C:634""}, {""brand"": ""Humbrol"", ""code"": ""224""}, {""brand"": ""Testors"", ""code"": ""2056""}, {""brand"": ""Vallejo"", ""code"": ""71.309""}, {""brand"": ""Xtracolor"", ""code"": ""X025""}]"
HTK-_203,Sky Grey,#c5c5c6,"[{""brand"": ""Federal Standard"", ""code"": ""FS 36463""}, {""brand"": ""Vallejo"", ""code"": ""71.407""}, {""brand"": ""Xtracolor"", ""code"": ""X042""}]"
HTK-_204,BS Deep Buff,#cea87d,"[{""brand"": ""British Standard"", ""code"": ""BS381C:360""}]"
HTK-_205,BS Light Admiralty Grey,#bdcac8,"[{""brand"": ""British Standard"", ""code"": ""BS381C:697""}]"
HTK-_206,BS Dark Earth,#8d765b,"[{""brand"": ""British Standard"", ""code"": ""BS381C:450""}, {""brand"": ""Humbrol"", ""code"": ""29""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H72""}, {""brand"": ""Tamiya"", ""code"": ""XF18""}, {""brand"": ""Testors"", ""code"": ""2061""}, {""brand"": ""Vallejo"", ""code"": ""71.323""}, {""brand"": ""Xtracolor"", ""code"": ""X002""}]"
HTK-_207,BS PRU Blue,#70848d,"[{""brand"": ""British Standard"", ""code"": ""BS381C:636""}, {""brand"": ""Humbrol"", ""code"": ""230""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H56""}, {""brand"": ""Tamiya"", ""code"": ""XF18""}, {""brand"": ""Testors"", ""code"": ""2061""}, {""brand"": ""Vallejo"", ""code"": ""71.109""}, {""brand"": ""Xtracolor"", ""code"": ""X008""}]"
HTK-_208,Desert Beige,#dcc8a9,"[{""brand"": ""Federal Standard"", ""code"": ""FS 30118""}, {""brand"": ""ANA"", ""code"": ""ANA 617""}, {""brand"": ""RAL"", ""code"": ""RAL 1001""}, {""brand"": ""Testors"", ""code"": ""1702""}, {""brand"": ""Vallejo"", ""code"": ""71.075""}, {""brand"": ""Xtracolor"", ""code"": ""X101""}]"
HTK-_209,Field Drab,#7f6f50,"[{""brand"": ""Federal Standard"", ""code"": ""FS 30118""}, {""brand"": ""ANA"", ""code"": ""ANA 617""}, {""brand"": ""RAL"", ""code"": ""RAL 1001""}, {""brand"": ""Testors"", ""code"": ""1702""}, {""brand"": ""Vallejo"", ""code"": ""71.139""}, {""brand"": ""Xtracolor"", ""code"": ""X101""}]"
HTK-_210,Sand Brown,#aa9d7d,"[{""brand"": ""Federal Standard"", ""code"": ""FS 30277""}, {""brand"": ""Testors"", ""code"": ""1704""}, {""brand"": ""Vallejo"", ""code"": ""71.138""}]"
HTK-_211,Interior Green,#6f7a44,"[{""brand"": ""Federal Standard"", ""code"": ""FS 34151""}, {""brand"": ""ANA"", ""code"": ""ANA 611""}, {""brand"": ""Testors"", ""code"": ""1715""}, {""brand"": ""Vallejo"", ""code"": ""71.137""}, {""brand"": ""Xtracolor"", ""code"": ""X117""}]"
HTK-_212,Earth Yellow,#cdb184,"[{""brand"": ""Federal Standard"", ""code"": ""FS 30257""}, {""brand"": ""Vallejo"", ""code"": ""71.291""}]"
HTK-_213,Earth Red,#896b58,"[{""brand"": ""Federal Standard"", ""code"": ""FS 30117""}, {""brand"": ""Humbrol"", ""code"": ""186""}, {""brand"": ""Testors"", ""code"": ""1701""}, {""brand"": ""Vallejo"", ""code"": ""71.293""}]"
HTK-_214,BS Dark Camouflage Grey,#8b8d93,"[{""brand"": ""British Standard"", ""code"": ""BS381C:629""}, {""brand"": ""Vallejo"", ""code"": ""71.273""}, {""brand"": ""Xtracolor"", ""code"": ""X036""}]"
HTK-_215,BS NATO (IRR) Green,#736f61,"[{""brand"": ""British Standard"", ""code"": ""BS381C:285""}, {""brand"": ""Xtracolor"", ""code"": ""X018""}]"
HTK-_216,BS Lichen Green,#9d9b8d,"[{""brand"": ""British Standard"", ""code"": ""BS4800""}, {""brand"": ""British Standard"", ""code"": ""12B.25""}, {""brand"": ""Xtracolor"", ""code"": ""X024""}, {""brand"": ""British Standard"", ""code"": ""BS4800/12B.25""}]"
HTK-_217,BS Light Aircraft Grey,#c2c1ba,"[{""brand"": ""British Standard"", ""code"": ""BS381C:627""}, {""brand"": ""Humbrol"", ""code"": ""166""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H332""}, {""brand"": ""Xtracolor"", ""code"": ""X015""}]"
HTK-_218,Blue Grey,#819098,"[{""brand"": ""Federal Standard"", ""code"": ""FS 35189""}, {""brand"": ""ANA"", ""code"": ""ANA 509""}, {""brand"": ""Humbrol"", ""code"": ""153""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H327""}, {""brand"": ""Testors"", ""code"": ""2055""}, {""brand"": ""Vallejo"", ""code"": ""71.109""}, {""brand"": ""Xtracolor"", ""code"": ""X162""}]"
HTK-_219,Insignia Red,#a03833,"[{""brand"": ""Federal Standard"", ""code"": ""FS 11136""}, {""brand"": ""ANA"", ""code"": ""ANA 509""}, {""brand"": ""Humbrol"", ""code"": ""153""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H327""}, {""brand"": ""Testors"", ""code"": ""1705""}, {""brand"": ""Vallejo"", ""code"": ""71.109""}, {""brand"": ""Xtracolor"", ""code"": ""X103""}]"
HTK-_220,True Blue,#5f7ca2,"[{""brand"": ""Federal Standard"", ""code"": ""FS 15102""}, {""brand"": ""ANA"", ""code"": ""ANA 501""}, {""brand"": ""Testors"", ""code"": ""2030""}, {""brand"": ""Xtracolor"", ""code"": ""X152""}]"
HTK-_221,Willow Green,#50874c,"[{""brand"": ""Federal Standard"", ""code"": ""FS 14187""}, {""brand"": ""ANA"", ""code"": ""ANA 503""}, {""brand"": ""Testors"", ""code"": ""2028""}, {""brand"": ""Vallejo"", ""code"": ""71.135""}, {""brand"": ""Xtracolor"", ""code"": ""X151""}]"
HTK-_222,Lemon Yellow,#f2d022,"[{""brand"": ""Federal Standard"", ""code"": ""FS 13655""}, {""brand"": ""ANA"", ""code"": ""ANA 505""}, {""brand"": ""Testors"", ""code"": ""2023""}, {""brand"": ""Vallejo"", ""code"": ""71.135""}, {""brand"": ""Xtracolor"", ""code"": ""X108""}]"
HTK-_223,Pigeon Blue,#808fa7,"[{""brand"": ""RAL"", ""code"": ""RAL 5014""}]"
HTK-_224,Black Grey,#777575,"[{""brand"": ""RAL"", ""code"": ""RAL 7021""}, {""brand"": ""Vallejo"", ""code"": ""71.056""}, {""brand"": ""Xtracolor"", ""code"": ""X262""}]"
HTK-_225,Green Grey,#807f77,"[{""brand"": ""RAL"", ""code"": ""RAL 7009""}, {""brand"": ""Vallejo"", ""code"": ""71.020""}, {""brand"": ""Xtracolor"", ""code"": ""X256""}]"
HTK-_226,Black Green,#5c6460,"[{""brand"": ""RAL"", ""code"": ""RAL 6012""}, {""brand"": ""Vallejo"", ""code"": ""71.018""}]"
HTK-_227,Dark Green-Blue,#2f90a4,[]
HTK-_228,Medium Green-Blue,#6bc6d7,[]
HTK-_229,Light Green-Blue,#8dd3ec,[]
HTK-_230,Dark Grey,#6f6f78,"[{""brand"": ""Federal Standard"", ""code"": ""FS 36076""}, {""brand"": ""Testors"", ""code"": ""2034""}, {""brand"": ""Vallejo"", ""code"": ""71.048""}, {""brand"": ""Xtracolor"", ""code"": ""X128""}]"
HTK-_231,Fog Grey,#a5a7a7,"[{""brand"": ""Federal Standard"", ""code"": ""FS 36293""}, {""brand"": ""Testors"", ""code"": ""2034""}, {""brand"": ""Vallejo"", ""code"": ""71.048""}, {""brand"": ""Xtracolor"", ""code"": ""X128""}]"
HTK-_232,Extra Dark Green,#8d8b83,"[{""brand"": ""Federal Standard"", ""code"": ""FS 34064""}]"
HTK-_233,Stone Grey,#aaa69d,"[{""brand"": ""RAL"", ""code"": ""RAL 7030""}, {""brand"": ""Xtracolor"", ""code"": ""X257""}]"
HTK-_234,Sky Grey-Green,#b5bda5,"[{""brand"": ""Federal Standard"", ""code"": ""FS 34424""}, {""brand"": ""ANA"", ""code"": ""ANA 610""}, {""brand"": ""Vallejo"", ""code"": ""71.321""}, {""brand"": ""Xtracolor"", ""code"": ""X166""}]"
HTK-_235,Dark Blue-Grey,#5f646b,"[{""brand"": ""Federal Standard"", ""code"": ""FS 36099""}, {""brand"": ""Vallejo"", ""code"": ""71.053""}]"
HTK-_236,BS Olive Green,#8f917d,"[{""brand"": ""British Standard"", ""code"": ""BS381C:220""}, {""brand"": ""Xtracolor"", ""code"": ""X027""}]"
HTK-_237,BS Light Stone,#d1b58b,"[{""brand"": ""British Standard"", ""code"": ""BS381C:361""}, {""brand"": ""Vallejo"", ""code"": ""71.143""}, {""brand"": ""Xtracolor"", ""code"": ""X029""}]"
HTK-_238,Desert Tan,#c5b58f,"[{""brand"": ""Federal Standard"", ""code"": ""FS 33446""}, {""brand"": ""Vallejo"", ""code"": ""71.122""}, {""brand"": ""Xtracolor"", ""code"": ""X812""}]"
HTK-_239,Seafoam Green,#bdcba0,"[{""brand"": ""Federal Standard"", ""code"": ""FS 24533""}]"
HTK-_240,IJA Khaki (Khaki-iro),#c5ab76,"[{""brand"": ""Vallejo"", ""code"": ""71.287""}]"
HTK-_241,IJA Tea Brown (Cha-iro),#8b6948,"[{""brand"": ""Vallejo"", ""code"": ""71.035""}]"
HTK-_242,IJA Olive Green (Midori-iro),#53633f,"[{""brand"": ""Vallejo"", ""code"": ""71.134""}]"
HTK-_243,IJA Parched Grass (Karekusa-iro)Dunkelgelb,#ada15d,"[{""brand"": ""Vallejo"", ""code"": ""73.610""}]"
HTK-_244,,#c2b8a3,"[{""brand"": ""Gunze Sangyo"", ""code"": ""H403""}, {""brand"": ""Tamiya"", ""code"": ""XF60""}, {""brand"": ""Testors"", ""code"": ""2095""}, {""brand"": ""Vallejo"", ""code"": ""71.025""}, {""brand"": ""Xtracolor"", ""code"": ""X805""}, {""brand"": ""RAL"", ""code"": ""RAL 840""}]"
HTK-_245,Kenttävihreä,#606a56,[]
HTK-_246,Dark Moss Green,#535c50,"[{""brand"": ""Federal Standard"", ""code"": ""FS 14077""}]"
HTK-_247,Vaaleanvihreä,#636a51,[]
HTK-_248,Quartz Grey,#a29c95,"[{""brand"": ""RAL"", ""code"": ""RAL 7039""}, {""brand"": ""Xtracolor"", ""code"": ""X259""}]"
HTK-_249,Dusty Grey,#989694,"[{""brand"": ""RAL"", ""code"": ""RAL 7037""}, {""brand"": ""Xtracolor"", ""code"": ""X258""}]"
HTK-_250,Dunkelgelb,#b2a361,"[{""brand"": ""RAL"", ""code"": ""RAL 840""}]"
HTK-_251,4BO Protective Green,#666846,"[{""brand"": ""Testors"", ""code"": ""2129""}, {""brand"": ""Vallejo"", ""code"": ""71.017""}, {""brand"": ""Xtracolor"", ""code"": ""X811""}]"
HTK-_252,Military Dark Earth,#ad9a8a,[]
HTK-_253,MRG Stone,#cdbe96,[]
HTK-_254,Buffalo Green,#726d57,[]
HTK-_255,Bright Blue,#4379af,"[{""brand"": ""Federal Standard"", ""code"": ""FS 25183""}, {""brand"": ""Testors"", ""code"": ""2032""}, {""brand"": ""Xtracolor"", ""code"": ""X146""}]"
HTK-_256,Earth Brown,#95887c,"[{""brand"": ""Federal Standard"", ""code"": ""FS 30099""}, {""brand"": ""Vallejo"", ""code"": ""71.290""}]"
HTK-_257,Uniform Brown,#8e7958,"[{""brand"": ""Federal Standard"", ""code"": ""FS 30145""}]"
HTK-_258,Stone Yellow,#c5b384,"[{""brand"": ""Federal Standard"", ""code"": ""FS 33448""}]"
