image,raw_reference,reference,name,equivalents,hex,confidence
01.png,IGloss Emerald Green H46 2,H46,Gloss Emerald Green,Humbrol:2,#387162,0.9589439933739337
01.png,IGloss Red Brown H47 XF-9 73 32 / 38 1736,H47,Gloss Red Brown,Tamiya:XF9; Humbrol:73; Revell:32/38; Testors:1736,#2b1e26,0.8894924171281782
01.png,Gloss German Field Gray-2 H48 XF-65,H48,Gloss German Field Gray-2,Tamiya:XF65,#21303a,0.9658505240183528
01.png,IGloss Violet H49,H49,Gloss Violet,,#3b59a3,0.9500696212408974
02.png,(Gloss Lime Green H5o X-15 38,H50,Gloss Lime Green,Tamiya:X15; Humbrol:38,#355f4c,0.7727194646811532
02.png,Gloss Light Gull Gray H51 XF-12 / XF19 64,H51,Gloss Light Gull Gray,Tamiya:XF-12/XF19; Humbrol:64,#a2a8a5,0.8519068560999552
02.png,Semi Gloss Olive Drab-1 H52 XF-62 155 66 1591,H52,Semi Gloss Olive Drab-1,Tamiya:XF62; Humbrol:155; Revell:66; Testors:1591,#1e2427,0.8243822224126379
02.png,Semi Gloss Neutral Grey H53 XF-66 128,H53,Semi Gloss Neutral Grey,Tamiya:XF66; Humbrol:128,#353d4b,0.8245034224360104
02.png,Semi Gloss Navy Blue H54 XF-17 104,H54,Semi Gloss Navy Blue,Tamiya:XF17; Humbrol:104,#2e3a4a,0.9799323475925045
02.png,Gloss Moonlight Blue H55 181,H55,Gloss Moonlight Blue,Humbrol:181,#0b0a07,0.973462689504684
02.png,Semi Gloss intermediate Blue H56 XF-18 144 1720,H56,Semi Gloss intermediate Blue,Tamiya:XF18; Humbrol:144; Testors:1720,#1a2834,0.9483159933737236
02.png,Gloss Aircraft Grey H57 147 1731,H57,Gloss Aircraft Grey,Humbrol:147; Testors:1731,#557682,0.905027468479052
02.png,Semi Gloss Interior Green H58 151,H58,Semi Gloss Interior Green,Humbrol:151,#968b43,0.8982239251664885
02.png,Gloss IJN Green H59 XF-11 75,H59,Gloss IJN Green,Tamiya:XF11; Humbrol:75,#20232c,0.8910174214804661
