code,name,hex
72.099,Skin Tone,#cfcfcf
72.100,Rosy Flesh,#b1846b
72.101,Unknown,#a46b4d
72.102,Steel Grey,#9db9d2
72.106,Scarlet Blood,#bd3f30
72.107,Athena Skin,#d7d7d7
72.108,Succubus Skin,#92594e
72.109,Toxic Yellow,#d6d7d6
72.110,Sunset Orange,#85502c
72.111,Nocturnal Red,#3b1819
72.112,Evil Red,#1f1315
72.113,28 Lustful Purple,#cdcecd
72.114,Unknown,#2b1820
72.115,Grunge Brown,#543b2d
72.116,Midnight Purple,#191721
72.117,Elfic Blue,#d2d2d2
72.118,Sunrise Blue,#d9dad9
72.119,Aquamarine,#d6d6d6
72.120,Abyssal Turquoise,#2f484a
72.121,Ghost Green,#d2d2d2
72.122,Bile Green,#d2d2d1
72.123,Angel Green,#6c7a6a
72.124,Gorgon Brown,#d6d6d6
72.145,Dirty Grey,#d7d7d7
72.148,Warm Grey 75 Stonewall,#282f32
72.155,Charcoal,#d9dad9
73.212,Unknown,#d5d5d4
73.213,Unknown,#cdcdcd
73.214,Unknown,#cdcdcd
76.001,Dead White Blanco Calavera,#d7d8d7
76.003,Pale Flesh Carne Palida Rosy,#e28739
76.004,Elf Skin Tone Piel de Elfos,#d6d6d5
76.005,Amarillo lunar Moon Yellow,#d7d8d7
76.006,Sun Yellow Amarillo Soleado,#da913c
76.007,Gold Yellow Amarillo Dorado,#e28739
76.008,Orange Fire Naranja Fuego,#cccdcc
76.010,Rojo Sanguina Bloody Red,#16151f
76.012,Rojo Escarlata Scarlet Red,#782823
76.013,Squid Pink Rosa Pulpo,#212228
76.014,Warlord Purple Purpura Lujurioso,#d7d7d7
76.016,Purpura Real Royal Purple Pirpura Medianoche,#16151f
76.019,Azul Negro Night Blue,#151927
76.020,Turquoise,#d6d6d6
76.021,Magic Blue Imperial Blue Azul Imperial,#8f9cab
76.022,Ultramarine Blue Azul Ultramar,#121a20
76.023,Electric Blue Azul Electrico Azul Magico,#d7d7d7
76.024,Halcon Milenario Turquesa Abisal,#cacbca
76.026,Jade Green Verde Jade Scurvy Green Verde Casposo,#cbcccb
76.027,Unknown,#d3d3d1
76.028,Verde Oscuro Dark Green,#cecece
76.031,Camouflage Green Verde Camuflaje,#cacbca
76.032,Unknown,#d8d9d8
76.034,Bone White Blanco Hueso,#da913c
76.035,Carne Muerta Dead Flesh,#d6d6d6
76.036,Bronze Brown Marron Bronceado,#915c33
76.040,Leather Brown Marron Cuero,#9d714f
76.042,Parasite Brown Piel de Parasitos Grunge Brown,#d8d8d7
76.043,Beasty Brown Marron Bichos,#d7d8d7
76.045,Charred Brown Marron Carbonizado,#d8d9d8
76.047,Gris Lobo Wolf Grey,#dadbda
76.048,Sombre Grey Gris Sombra,#d9dad9
76.049,Gris Muralla,#53524c
76.050,Gris Neutral Neutral Grey,#53524c
76.051,Black Negro,#d7d8d7
76.062,Earth Tierra,#d3d3d1
76.063,Desert Yellow Desierto,#605734
76.071,Barbarian Skin Piel de Barbaro,#d8d8d8
76.076,Alien Purple,#6a5a8c
76.100,Carne Rosa Flesh,#cccdcc
76.107,Athena Skin Piel de Atenea,#8f5449
76.109,Toxic Yellow Amarillo Toxico,#d8d8d8
76.111,Nocturnal Red Rojo Nocturno,#d8d9d8
76.114,Lustful Purple Purpura Alienigena,#381927
76.115,Marron Mugre,#d9d9d8
76.116,Midnight Purple,#16151f
76.118,Sunrise Blue Azul Amanecer,#cdcdcc
76.120,Abyssal Turquoise,#d5d5d5
76.121,Verde Espectral Ghost Green,#d5d5d5
76.122,Bile Green Verde Bilioso Scorpy Green Verde Escorpena,#d7d7d7
76.123,Verde Angelical Angel Green,#d0d1d0
