image,raw_reference,reference,name,definition,equivalents,hex,confidence
04 ammo.png,A.MIG-0217,MIG-0217,GREEN SLATE,,HOBBY COLOR:RAL 7002RLM 02; MR.COLOR:C60; TAMIYA:XF22; MODEL COLOR:70.886; MODEL AIR:71.044,#d8d7d7,0.9281674748099877
04 ammo.png,A.MIG-0218,MIG-0218,SCHWARTZGRAU,,HOBBY COLOR:RLM66; MR.COLOR:C116; TAMIYA:XF63; MODEL COLOR:70.866; MODEL AIR:71.055,#424743,0.8628795342849195
04 ammo.png,AMIG-0219,MIG-0219,INTERIOR GREEN,,HOBBY COLOR:FS 34226,#9aaaa2,0.9816150393351395
04 ammo.png,A.MIG-0220,MIG-0220,ZINC CHROMATE GREEN (INTERIOR GREEN),,HOBBY COLOR:FS 34151; MODEL COLOR:70.850; MODEL AIR:71.137,#b7b9ba,0.886428097137454
04 ammo.png,AMIG-0221,MIG-0221,ZINC CHROMATE YELLOW,,HOBBY COLOR:FS 33481; MR.COLOR:C27; TAMIYA:XF4; MODEL AIR:71.107,#bfbebd,0.9076233760177331
04 ammo.png,AMIG-0222,MIG-0222,SANDGELB,,HOBBY COLOR:RLM 79; MR.COLOR:C119; MODEL COLOR:70.876; MODEL AIR:71.278,#b2b3b3,0.8857738543171263
04 ammo.png,AMIG-0223,MIG-0223,INTERIOR TURQUOISE GREEN,,HOBBY COLOR:H46; MODEL COLOR:70.838,#acabaa,0.7962923251570936
04 ammo.png,AMIG-0224,MIG-0224,SKY LINE BLUE AIl,,HOBBY COLOR:FS 35260; MODEL COLOR:70.961; MODEL AIR:71.317,#b2b3b3,0.895024946615834
04 ammo.png,AMIG-0226,MIG-0226,GRAY,,HOBBY COLOR:FS 36622; MR.COLOR:C311; MODEL COLOR:70.883; MODEL AIR:71.296,#d2d1d1,0.868659702645936
04 ammo.png,A.MIG-0227,MIG-0227,SEA BLUE,,HOBBY COLOR:FS 25042; MR.COLOR:C14; TAMIYA:XF50; MODEL COLOR:70.898; MODEL AIR:71.005,#b2b3b3,0.9313813768303291
04 ammo.png,A.MIG-0228,MIG-0228,INTERMEDIATE BLUE,,HOBBY COLOR:FS 35164RAL 7031ANA 608; TAMIYA:XF66; MODEL COLOR:70.903; MODEL AIR:71.299,#c3c2c1,0.8663839018430063
04 ammo.png,A.MIG-0229,MIG-0229,DARK GRAY BLUE,,HOBBY COLOR:FS 15102,#a8a9aa,0.852233831567699
04 ammo.png,AMIG-0230,MIG-0230,CAMO GREEN,,HOBBY COLOR:FS34095RAL 6020RLM 82; MR.COLOR:C122; MODEL COLOR:70.823; MODEL AIR:71.022,#c9c7c7,0.9141218922171743
04 ammo.png,A.MIG-0231,MIG-0231,HELLBLAU,,HOBBY COLOR:FS35352RLM 65; MR.COLOR:C115; TAMIYA:XF25; MODEL COLOR:70.906; MODEL AIR:71.255,#afb0b0,0.8927021811461511
04 ammo.png,A.MIG-0232,MIG-0232,SCHWARTZGRUN,,HOBBY COLOR:FS34052RAL 7022RLM 70; MR.COLOR:C18; TAMIYA:XF27; MODEL COLOR:70.897; MODEL AIR:71.021,#b6b4b4,0.9048616336408191
04 ammo.png,A.MIG-0233,MIG-0233,DUNKELGRUN,,HOBBY COLOR:RLM 71; MR.COLOR:C17; MODEL AIR:71.015,#c6c8c9,0.8912640077824654
04 ammo.png,A.MIG-0235,MIG-0235,DARK GREY AMT-12,,HOBBY COLOR:FS 36152RAL 7012; MR.COLOR:C32; TAMIYA:XF75; MODEL AIR:71.308,#7e8386,0.8680218291948723
04 ammo.png,A.MIG-0236,MIG-0236,FS 36293,,HOBBY COLOR:H82; MR.COLOR:C31,#bbbfc0,0.8598243337552997
04 ammo.png,A.MIG-0237,MIG-0237,DARK OLIVE DRAB,,HOBBY COLOR:FS 23070; MR.COLOR:C12; TAMIYA:XF62; MODEL AIR:71.016,#c6c5c4,0.8557264116717185
04 ammo.png,A.MIG-0238,MIG-0238,MEDIUM GREEN,,HOBBY COLOR:FS 34092ANA 612; MR.COLOR:C302; TAMIYA:XF26; MODEL COLOR:70.895; MODEL AIR:71.124,#526150,0.8083728341002254
04 ammo.png,A.MIG-0239,MIG-0239,NEUTRAL GRAY,,HOBBY COLOR:FS 36122; MR.COLOR:C13; MODEL AIR:71.274,#c8c7c7,0.857601127969972
04 ammo.png,A.MIG-0240,MIG-0240,FS 34086 (ANA 613),,HOBBY COLOR:FS 34086RAL 7009; MODEL COLOR:70.830; MODEL AIR:71.325,#e1e4e5,0.8399688910102552
04 ammo.png,A.MIG-0241,MIG-0241,FS 36440,,HOBBY COLOR:FS 36440 RAL 7038; MR.COLOR:C315 / C325; MODEL COLOR:70.986; MODEL AIR:71.121,#a9a6a5,0.7485331617193154
04 ammo.png,AMIG-0242,MIG-0242,FS 37886,,,#9c9c9c,0.8329136118612882
04 ammo.png,AMIG-0243,MIG-0243,SKY TYPE S,,HOBBY COLOR:BS 210; TAMIYA:XF21; MODEL AIR:71.302,#d8d7d7,0.8404760131043758
04 ammo.png,AMIG-0244,MIG-0244,DUCK EGG GREEN,,HOBBY COLOR:BS 216; MR.COLOR:C26; MODEL AIR:71.009,#9da779,0.9352971859683431
04 ammo.png,AMIG-0245,MIG-0245,OCEAN GREY,,HOBBY COLOR:BS 629; TAMIYA:XF82; MODEL AIR:71.273,#d8d7d7,0.8056788906949448
04 ammo.png,A.MIG-0246,MIG-0246,MEDIUM SEA GREY,,HOBBY COLOR:BS 637; MR.COLOR:C335; TAMIYA:XF83; MODEL COLOR:70.870; MODEL AIR:71.307,#b6b7b7,0.924763437768302
04 ammo.png,AMIG-0247,MIG-0247,HELLBLAU,,HOBBY COLOR:RLM 78; MR.COLOR:C118; MODEL COLOR:70.972; MODEL AIR:71.101,#bab8b7,0.8983691804931845
04 ammo.png,AMIG-0248,MIG-0248,OLIVGRUN,,HOBBY COLOR:FS34083RLM 80; MR.COLOR:C120; MODEL COLOR:70.894; MODEL AIR:71.265,#babcbd,0.7965294175992109
05 ammo.png,AMIG-0249,MIG-0249,LIGHT BLUE,FS35550,MODEL AIR:71.306,#7f9cac,0.7803487301618899
05 ammo.png,A.MIG-0250,MIG-0250,NIGHT BLUE GREY,,MODEL COLOR:70.964,#454b54,0.8741815638103215
05 ammo.png,A.MIG-0251,MIG-0251,RUSSIAN BLUE AMT-7,,MODEL AIR:71.318,#49626a,0.7555936403249037
05 ammo.png,AMIG-0252,MIG-0252,GREY BROWN AMT-1,,MODEL AIR:71.320,#726c64,0.9090732888864995
05 ammo.png,A.MIG-0253,MIG-0253,GRAUGRUN,RLM 74,HOBBY COLOR:H68; MR.COLOR:C36; MODEL COLOR:70.867; MODEL AIR:71.258,#3f473f,0.8834400853569574
05 ammo.png,A.MIG-0254,MIG-0254,GRAUVIOLETT,RLM 75,HOBBY COLOR:H69; MR.COLOR:C37; MODEL COLOR:70.869; MODEL AIR:71.259,#717471,0.9106443045157963
05 ammo.png,A.MIG-0255,MIG-0255,BRAUNVIOLETT,RLM 81,HOBBY COLOR:H421; MR.COLOR:C121; MODEL AIR:71.264,#605149,0.7499521337361823
05 ammo.png,A.MIG-0256,MIG-0256,GRAUBLAU,RLM 84,MODEL AIR:71.103,#b2b17b,0.9268932208399017
05 ammo.png,A.MIG-0257,MIG-0257,AZURE BLUE,,MR.COLOR:C370; MODEL COLOR:70.902; MODEL AIR:71.108,#697da3,0.9471973522157665
05 ammo.png,A.MIG-0900,MIG-0900,DUNKELGELB SHADOW,,,#796d4c,0.7272282981594806
05 ammo.png,A.MIG-0901,MIG-0901,DUNKELGELB DARK BASE,,MODEL AIR:71.030,#817446,0.9062280939234656
05 ammo.png,A.MIG-0902,MIG-0902,DUNKELGELB BASE,,HOBBY COLOR:H71; MR.COLOR:C21; MODEL COLOR:70.882,#9d8d55,0.8220302426462638
05 ammo.png,AMIG-0903,MIG-0903,DUNKELGELB LIGHT BASE,,MODEL COLOR:70.976,#c9c491,0.8428702147141084
05 ammo.png,A.MIG-0904,MIG-0904,DUNKELGELB HIGH LIGHT,,,#dcd7be,0.8485521254820276
05 ammo.png,A.MIG-0905,MIG-0905,DUNKELGELB SHINE,,MODEL COLOR:70.344; MODEL AIR:71.132,#282c2d,0.8780883184609205
05 ammo.png,A.MIG-0906,MIG-0906,GREY SHADOW,BS 640,HOBBY COLOR:H333; MR.COLOR:C333,#383a43,0.8745041402208195
05 ammo.png,A.MIG-0907,MIG-0907,GREY DARK BASE,,TAMIYA:XF69; MODEL COLOR:70.333; MODEL AIR:71.049,#3d404c,0.949921652111673
05 ammo.png,A.MIG-0908,MIG-0908,GREY BASE,FS 26081,HOBBY COLOR:H301 /H339; MR.COLOR:C301 / €339; MODEL COLOR:70.995,#686c72,0.8633515246946015
05 ammo.png,AMIG-0909,MIG-0909,GREY LIGHT BASE,,HOBBY COLOR:H458; TAMIYA:XF24,#71737b,0.8222477669505035
05 ammo.png,A.MIG-0910,MIG-0910,GREY HIGH LIGHT,,HOBBY COLOR:H75; MR.COLOR:C25; TAMIYA:XF54; MODEL COLOR:70.836; MODEL AIR:71.277,#9799a3,0.8539030310453084
05 ammo.png,AMIG-0911,MIG-0911,GREY SHINE,,,#6f6465,0.7576044998619913
05 ammo.png,AMIG-0912,MIG-0912,RED BROWN SHADOW,,HOBBY COLOR:H17; MR.COLOR:C29; TAMIYA:XF9; MODEL AIR:71.038,#5c2e1f,0.8178093371136871
05 ammo.png,A.MIG-0913,MIG-0913,RED BROWN BASE,,HOBBY COLOR:H7; MR.COLOR:C7; TAMIYA:XF79,#935c4c,0.8590788955439629
05 ammo.png,A.MIG-0914,MIG-0914,RED BROWN LIGHT,,,#222a15,0.699103321093624
05 ammo.png,AMIG-0915,MIG-0915,DARK GREEN,,TAMIYA:XF81,#495838,0.8150263227019304
05 ammo.png,A.MIG-0916,MIG-0916,GREEN BASE,,MODEL COLOR:70.827,#88aa71,0.9048715180969291
05 ammo.png,AMIG-0917,MIG-0917,LIGHT GREEN,,,#2e1d1e,0.7111308670651891
05 ammo.png,A.MIG-0918,MIG-0918,RED PRIMER SHADOW,,MODEL COLOR:70.822,#250d06,0.8534386974176416
05 ammo.png,AMIG-0919,MIG-0919,RED PRIMER DARK BASE,,,#2f0c08,0.8467759867291498
05 ammo.png,AMIG-0920,MIG-0920,RED PRIMER,,,#531e10,0.9949858112779257
05 ammo.png,AMIG-0921,MIG-0921,RED PRIMER LIGHT BASE,,,#744227,0.7298524827258333
05 ammo.png,A.MIG-0922,MIG-0922,RED PRIMER HIGH LIGHTS,,,#935b33,0.5868953056006352
05 ammo.png,A.MIG-0923,MIG-0923,RED PRIMER SHINE,,MODEL COLOR:70.341; MODEL AIR:71.026,#222012,0.9113780705914201
05 ammo.png,A.MIG-0924,MIG-0924,OLIVE DRAB SHADOW,,,#3a3821,0.817856968386717
05 ammo.png,A.MIG-0925,MIG-0925,OLIVE DRAB DARK BASE,RLM 83,HOBBY COLOR:H78; MR.COLOR:C38; MODEL COLOR:70.889; MODEL AIR:71.043,#4a492f,0.93528645036541
05 ammo.png,A.MIG-0926,MIG-0926,OLIVE DRAB BASE,,HOBBY COLOR:H304; MR.COLOR:C304; MODEL AIR:71.286,#6e6a51,0.6900440853719834
05 ammo.png,A.MIG-0927,MIG-0927,OLIVE DRAB LIGHT BASE,,,#64624c,0.6839416052540065
05 ammo.png,AMIG-0928,MIG-0928,OLIVE DRAB HIGH LIGHTS,,MODEL AIR:71.139,#817e62,0.7922575503100266
05 ammo.png,AMIG-0929,MIG-0929,OLIVE DRAB SHINE,,MODEL COLOR:70.332; MODEL AIR:71.138,#282811,0.8705124360683892
05 ammo.png,A.MIG-0930,MIG-0930,RUSSIAN SHADOW,,,#535231,0.6086305720533189
05 ammo.png,AMIG-0931,MIG-0931,RUSSIAN DARK BASE,,TAMIYA:XF74; MODEL AIR:71.020,#54521f,0.8904515833877904
05 ammo.png,A.MIG-0932,MIG-0932,RUSSIAN BASE,,MODEL AIR:71.303,#6f6640,0.8893380124932111
05 ammo.png,AMIG-0933,MIG-0933,RUSSIAN LIGHT BASE,,,#7f7751,0.7769954922393281
05 ammo.png,A.MIG-0934,MIG-0934,RUSSIAN HIGH LIGHT,,,#8f8762,0.841087432505913
05 ammo.png,A.MIG-0935,MIG-0935,RUSSIAN SHINE,,HOBBY COLOR:H62; MR.COLOR:C56; TAMIYA:XF14; MODEL AIR:71.321,#908863,0.8928458356622903
