image,raw_reference,reference,name,definition,equivalents,hex,confidence
01 ammo.png,AMIG-0039,MIG-0039,LIGHT RUST,,HOBBY COLOR:H24; MR.COLOR:C58; MODEL COLOR:70.911; MODEL AIR:71.130,#d4872f,0.9282607019975198
01 ammo.png,AMIG-0040,MIG-0040,MEDIUM RUST,,HOBBY COLOR:H453; MODEL COLOR:70.981; MODEL AIR:71.129,#a24f33,0.8954606846917166
01 ammo.png,AMIG-0041,MIG-0041,DARK RUST,,MODEL COLOR:70.818,#773824,0.8499781332422497
01 ammo.png,AMIG-0042,MIG-0042,OLD RUST,,MODEL COLOR:70.859; MODEL AIR:71.040,#39221f,0.8789476818943736
01 ammo.png,AMIG-0043,MIG-0043,SHADOW RUST,,MODEL COLOR:70.307,#2a1615,0.9205747100613538
01 ammo.png,AMIG-0044,MIG-0044,CHIPPING,,MODEL COLOR:70.304,#080606,0.8498092133883416
01 ammo.png,AMIG-0045,MIG-0045,GUN METAL,FS37200-RAL 9007-RLM 03,MODEL COLOR:70.863; MODEL AIR:71.072,#605e61,0.8737723453154455
01 ammo.png,AMIG-0046,MIG-0046,MATT BLACK,FS37038-RAL 9005-RLM 22-MS17,HOBBY COLOR:H12; MR.COLOR:C33; TAMIYA:XF1; MODEL COLOR:70.950; MODEL AIR:71.057,#332e2b,0.8570865947864038
01 ammo.png,AMIG-0047,MIG-0047,SATIN WHITE,,HOBBY COLOR:H1; MR.COLOR:C1; MODEL COLOR:70.842,#332e2b,0.8672637126562037
01 ammo.png,AMIG-0048,MIG-0048,YELLOW,RAL 1023,HOBBY COLOR:H4; MR.COLOR:C4; TAMIYA:XF3; MODEL COLOR:70.915; MODEL AIR:71.002,#ddb43b,0.934655640927621
02 ammo.png,,,,,HOBBY COLOR:RALZRLM/FS,#98adb8,0.5248401383908357
02 ammo.png,AMIG-0049,MIG-0049,RED,,HOBBY COLOR:FS31302RAL 3020RLM 23; MR.COLOR:C3/C79/C114; TAMIYA:XF7; MODEL COLOR:70.909; MODEL AIR:71.003,#cbcac9,0.8014277567061185
02 ammo.png,AMIG-0050,MIG-0050,MATT WHITE,,HOBBY COLOR:FS37925RAL 9016RLM 21; MR.COLOR:C62; TAMIYA:XF2; MODEL COLOR:70.951; MODEL AIR:71.001,#969696,0.8372847648043484
02 ammo.png,AMIG-0051,MIG-0051,MEDIUM LIGHT GREEN,,MODEL COLOR:70.336,#b29e3b,0.8281505122645617
02 ammo.png,AMIG-0052,MIG-0052,DEEP GREEN,,MODEL COLOR:70.970; MODEL AIR:71.007,#ebddad,0.9964637124611926
02 ammo.png,AMIG-0053,MIG-0053,PROTECTIVE MC 1200,,TAMIYA:XF70,#969493,0.9726537949618328
02 ammo.png,AMIG-0054,MIG-0054,SIGNAL GREEN,,HOBBY COLOR:H26; MR.COLOR:C66,#939293,0.9847203618978193
02 ammo.png,AMIG-0055,MIG-0055,OIL OCHRE,,MODEL COLOR:70.916; MODEL AIR:71.033,#b39f3b,0.930895596587857
02 ammo.png,AMIG-0056,MIG-0056,GREEN KHAKI,,HOBBY COLOR:KHS5146RLM 83; MR.COLOR:C123; TAMIYA:XF51; MODEL COLOR:70.318; MODEL AIR:71.011,#807e6e,0.9608122313778981
02 ammo.png,AMIG-0057,MIG-0057,YELLOW GREY,,HOBBY COLOR:PKHV4; MODEL AIR:71.326,#d9ceb9,0.9775998938721474
02 ammo.png,AMIG-0058,MIG-0058,LIGHT GREEN KHAKI,,HOBBY COLOR:PKHV512,#af9d3c,0.9871109260765161
02 ammo.png,AMIG-0059,MIG-0059,GREY,,HOBBY COLOR:FS36251KHV16; MODEL AIR:71.050,#b29e3b,0.9411111966537143
02 ammo.png,AMIG-0060,MIG-0060,PALE GREEN,,TAMIYA:XF5; MODEL COLOR:70.967; MODEL AIR:71.006,#37572a,0.9467085868352917
