image,raw_reference,reference,name,equivalents,hex,confidence
02.png,Semi Gloss IJA Gray,Semi Gloss IJA Gray,H62 XF-14 147,,#999999,0.9216793361547106
02.png,Metallic Blue-Green,Metallic Blue-Green,H63,,#ababab,0.8362089592324333
02.png,Semi Gloss Dark Green RLM-71,Semi Gloss Dark Green RLM-71,H64 116,,#ababab,0.909279704005426
02.png,Semi Gloss Black Green RLM-70,Semi Gloss Black Green RLM-70,H65,,#797979,0.6640488980201733
02.png,Semi Gloss Sandy Brown RLM-79,Semi Gloss Sandy Brown RLM-79,H66 XF-57 63 88,,#797979,0.9537809645916628
02.png,Semi Gloss Light Blue RLM-65,Semi Gloss Light Blue RLM-65,H67 65,,#848484,0.8169515941296749
02.png,Semi Gloss Dark Grey RLM-74,Semi Gloss Dark Grey RLM-74,H68 27,,#848484,0.7341754056161524
02.png,Semi Gloss Grey RLM-75,Semi Gloss Grey RLM-75,H6g,,#ababab,0.6971008921515797
02.png,Semi Gloss Grey RLM-02,Semi Gloss Grey RLM-02,H7O,,#ababab,0.6438521897522935
02.png,Semi Gloss Middle Stone,Semi Gloss Middle Stone,H71 94,,#ababab,0.9857346437943095
02.png,Semi Gloss Dark Earth,Semi Gloss Dark Earth,H72 29 86 380,,#797979,0.9039304734908405
02.png,Semi Gloss Dark Green,Semi Gloss Dark Green,H73 XF-61 30,,#797979,0.7806955702028328
02.png,Semi Gloss Duck Egg Green,Semi Gloss Duck Egg Green,H74 23,,#7e7e7e,0.9344235745206103
02.png,Semi Gloss Dark Sea Gray,Semi Gloss Dark Sea Gray,H75 XF-54 27,,#d9d9d9,0.9412418678705701
02.png,Metallic Burnt Iron,Metallic Burnt Iron,H76 53 1795,,#626262,0.9905355002570317
02.png,Flat Tire Black,Flat Tire Black,H77 X-18 85 1583,,#bebebe,0.8968863823169743
02.png,Semi Gloss Olive Drab(2),Semi Gloss Olive Drab(2),H78 XF-58 66,,#797979,0.9178350287955853
02.png,ISemi Gloss Sandy Yellow,ISemi Gloss Sandy Yellow,H79 XF-59 93 16,,#999999,0.9070723891076032
02.png,Flat Khaki Green,Flat Khaki Green,H8O XF-51,,#797979,0.9429789838647831
02.png,Flat Khaki,Flat Khaki,H81 XF-49 26,,#c4c4c4,0.9755602889650504
02.png,Semi Gloss Dark Grey(t),Semi Gloss Dark Grey(t),H82 XF-2O 126 47,,#5a5a5a,0.8380409475262427
02.png,Semi Gloss Dark Grey(2),Semi Gloss Dark Grey(2),H83 XF-24 112 57 / 378,,#c4c4c4,0.9019304721785697
02.png,Semi Gloss Mahogany,Semi Gloss Mahogany,H84,,#8c8c8c,0.9900655326355797
02.png,Flat Sail Color,Flat Sail Color,H85 2709,,#8c8c8c,0.9019385135700514
02.png,Gloss Red Madder,Gloss Red Madder,H86 34 2719,,#ababab,0.8144298729813135
02.png,Metallic Red,Metallic Red,H87 51 96,,#ababab,0.9851859946233068
02.png,Metallic Blue,Metallic Blue,H88 X-13 52 98,,#c7c7c7,0.97594298389838
02.png,Metallic Green,Metallic Green,H8g 50 97,,#ababab,0.8955595148819857
02.png,Gloss Clear Red,Gloss Clear Red,H9O X-27 1321 531,,#9c9c9c,0.7683678053627585
02.png,Gloss Clear Yellow,Gloss Clear Yellow,H91 X-24 512,,#606060,0.9628576456104986
02.png,Gloss Clear Orange,Gloss Clear Orange,H92 X-26 1322 530,,#585858,0.7964541956718649
02.png,Gloss Clear Blue,Gloss Clear Blue,H93 X23 552,,#9c9c9c,0.8867321447474941
02.png,Gloss Clear Green,Gloss Clear Green,H94 X26 1325 561,,#686868,0.939574629541495
02.png,Gloss Smoke Gray,Gloss Smoke Gray,H95 X-19,,#c7c7c7,0.8116963051882208
02.png,Gloss Blue Smoke,Gloss Blue Smoke,H96,,#ababab,0.9211949504137269
02.png,Gloss Fluo Yellow,Gloss Fluo Yellow,H97 194 312,,#ababab,0.8271704082954806
02.png,Gloss Fluo Orange,Gloss Fluo Orange,H98 209,,#ababab,0.9603417751158203
02.png,Gloss Fluo Pink,Gloss Fluo Pink,H9g 207,,#ababab,0.5964807966081138
02.png,Gloss Fluo Green,Gloss Fluo Green,H1OO 203,,#ababab,0.8930746411846286
02.png,Semi Gloss Gray FS-36081,Semi Gloss Gray FS-36081,H301 32,,#aaaaaa,0.767440490822846
03.png,ISemi Gloss Green FS-34092,ISemi Gloss Green FS-34092,H302 149 1764,,#9a9a9a,0.8301248737013345
03.png,Semi Gloss Green FS-34102,Semi Gloss Green FS-34102,H303 151 1713,,#616161,0.9846797794527731
03.png,Semi Gloss Olive Drab FS-34087,Semi Gloss Olive Drab FS-34087,H304 155 1711,,#8d8d8d,0.8245046657363825
03.png,Semi Gloss Grey FS-36118,Semi Gloss Grey FS-36118,H305 125,,#656565,0.9270873566917476
03.png,Semi Gloss Grey FS-36270,Semi Gloss Grey FS-36270,H306 126,,#a2a2a2,0.6183256255368569
03.png,Semi Gloss Grey FS-36320,Semi Gloss Grey FS-36320,H307 128 1741,,#656565,0.9208099861904259
03.png,Semi Gloss Grey FS-36375,Semi Gloss Grey FS-36375,H308 127 1728,,#bcbcbc,0.9014365476324535
03.png,Semi Gloss Green FS-34079,Semi Gloss Green FS-34079,H309 116 1710,,#929292,0.9106773384428539
03.png,Semi Gloss Brown FS-30219,Semi Gloss Brown FS-30219,H310 XF-52 119 85,,#515151,0.9030333632431075
03.png,Semi Gloss Grey FS-36622,Semi Gloss Grey FS-36622,H311 28,,#a2a2a2,0.866671226054246
03.png,Semi Gloss Green FS-34227,Semi Gloss Green FS-34227,H312 XF-26 120 1716,,#b6b6b6,0.8637889547596483
03.png,Semi Gloss Yellow FS-33531,Semi Gloss Yellow FS-33531,H313 XF-60 121 1706,,#acacac,0.961802334502493
03.png,Semi Gloss Blue FS-35622,Semi Gloss Blue FS-35622,H314 XF-21 122,,#979797,0.7417444360102969
03.png,Gloss Gray FS-16440,Gloss Gray FS-16440,H315 XF-54 183 1729,,#414141,0.9527067543946754
03.png,Gloss White FS-17875,Gloss White FS-17875,H316 22,,#686868,0.9859647361828864
03.png,Flat Grey FS- 36231,Flat Grey FS- 36231,H317 140 1740,,#a2a2a2,0.9417956014743559
03.png,Semi Gloss Radome,Semi Gloss Radome,H318 148 1709,,#a2a2a2,0.9351796533953964
03.png,Semi Gloss Light Green,Semi Gloss Light Green,H319,,#676767,0.8874919396190499
03.png,Semi Gloss Dark Green,Semi Gloss Dark Green,H320 XF-27 30 360,,#a4a4a4,0.924513037451394
03.png,Semi Gloss Light Brown,Semi Gloss Light Brown,H321,,#575757,0.993535579469498
03.png,Gloss Phthal 0 Yanne Blue,Gloss Phthal 0 Yanne Blue,H322 53 1594,,#575757,0.9176674087391645
03.png,lGloss Light Blue,lGloss Light Blue,H323 XF-23,,#959595,0.837752303704796
03.png,Flat Light Grey,Flat Light Grey,H324,,#b5b5b5,0.9453722845455044
03.png,Semi Gloss Grey FS-26440,Semi Gloss Grey FS-26440,H325 129 1730,,#b5b5b5,0.7799911370574526
03.png,(Gloss Blue FS-15044,(Gloss Blue FS-15044,H326 189 1719,,#414141,0.8230312015541648
03.png,Gloss Red FS-11136,Gloss Red FS-11136,H327 153 1705,,#c9c9c9,0.7951029528323322
03.png,Gloss Blue FS-15050,Gloss Blue FS-15050,H328 190 350 1772,,#9b9b9b,0.9077150842515462
03.png,Gloss Yellow FS-13538,Gloss Yellow FS-13538,H329 XF 3 154 /188 310,,#909090,0.8138623714580625
03.png,Semi Gloss Dark Green BS381/C641,Semi Gloss Dark Green BS381/C641,H330 163,,#535353,0.8959326920547798
03.png,Semi Gloss Dark Sea Grey BS381/C638,Semi Gloss Dark Sea Grey BS381/C638,H331 164,,#464646,0.882720575082152
03.png,Semi Gloss Light Aircraft Grey BS381/C627,Semi Gloss Light Aircraft Grey BS381/C627,H332 XF-25 166,,#929292,0.8118676361845464
